dates,website
None,https://www.poynter.org/?ifcn_misinformation=who-has-said-do-not-eat-cabbage-as-it-will-increase-the-chance-of-coronavirus-infection
3 9 2020,https://www.efsa.europa.eu/en/news/coronavirus-no-evidence-food-source-or-transmission-route
2 4 2020,https://www.nytimes.com/2020/02/04/business/china-coronavirus-food-prices.html
1 26 2020,https://www.nytimes.com/2020/01/26/world/china-coronavirus.html
1 31 2020,https://www.nytimes.com/2020/01/31/business/china-coronavirus-business.html
4 1 2020,https://ahmedabadmirror.indiatimes.com/ahmedabad/others/mirror-myth-busters-does-cabbage-carry-the-coronavirus-for-a-longer-time/articleshow/74919801.cms
None,https://www.csis.org/programs/global-food-security-program/covid-19-and-food-security
4 17 2020,https://nypost.com/2020/04/17/heres-why-sauerkraut-and-kimchi-sales-are-surging-thanks-to-coronavirus/
None,https://en.wikipedia.org/wiki/Misinformation_related_to_the_2019%E2%80%9320_coronavirus_pandemic
3 23 2020,https://insight.wfp.org/food-for-thought-7-tips-on-keeping-a-healthy-diet-in-the-face-of-coronavirus-7fab7f06177
